code,symbol,name
641,ДЮЖИНА,Дюжина (12 шт.)
643,ТЫС ЕД,Тысяча единиц
644,МЛН ЕД,Миллион единиц
673,ТЫС КОМПЛ,Тысяча комплектов
683,100 ЯЩ,Сто ящиков
699,ТЫС МЕСТ,Тысяча мест
709,ТЫС НОМ,Тысяча номеров
715,ПАР,Пара (2 шт.)
724,ТЫС ГА ПОРЦ,Тысяча гектаров порций
729,ТЫС ПАЧ,Тысяча пачек
751,ТЫС РУЛ,Тысяча рулонов
761,ТЫС СТАН,Тысяча станов
775,ТЫС ТЮБИК,Тысяча тюбиков
776,ТЫС УСЛ ТУБ,Тысяча условных тубов
779,МЛН УПАК,Миллион упаковок
782,ТЫС УПАК,Тысяча упаковок
793,ТЫС ЧЕЛ,Тысяча человек
794,МЛН ЧЕЛ,Миллион человек
796,ШТ,Штука
798,ТЫС ШТ,Тысяча штук
799,МЛН ШТ,Миллион штук
800,МЛРД ШТ,Миллиард штук
801,БИЛЛ ШТ (ЕВР); ТРИЛЛ ШТ,Биллион штук (Европа); триллион штук
802,КВИНТ ШТ,Квинтильон штук (Европа)
808,МЛН ЭКЗ,Миллион экземпляров
831,Л ЧИСТ СПИРТ,Литр чистого (100%) спирта
833,ГЛ ЧИСТ СПИРТ,Гектолитр чистого (100%) спирта
837,ТЫС ПАР,Тысяча пар
838,МЛН ПАР,Миллион пар
841,КГ ПЕРОКСИД ВОДОРОДА,Килограмм пероксида водорода
845,КГ 90 ПРОЦ СУХ ВЕЩ,Килограмм 90%-го сухого вещества
847,Т 90 ПРОЦ СУХ ВЕЩ,Тонна 90%-го сухого вещества
852,КГ ОКСИД КАЛИЯ,Килограмм оксида калия
859,КГ ГИДРОКСИД КАЛИЯ,Килограмм гидроксида калия
863,КГ ГИДРОКСИД НАТРИЯ,Килограмм гидроксида натрия
865,КГ ПЯТИОКИСЬ ФОСФОРА,Килограмм пятиокиси фосфора
869,ТЫС БУТ,Тысяча бутылок
871,ТЫС АМПУЛ,Тысяча ампул
873,ТЫС ФЛАК,Тысяча флаконов
874,ТЫС ТУБ,Тысяча тубов
875,ТЫС КОР,Тысяча коробок
877,ТЫС УСЛ ЕД,Тысяча условных единиц
878,МЛН УСЛ ЕД,Миллион условных единиц
880,ТЫС УСЛ ШТ,Тысяча условных штук
882,ТЫС УСЛ БАНК,Тысяча условных банок
883,МЛН УСЛ БАНК,Миллион условных банок
885,ТЫС УСЛ КУС,Тысяча условных кусков
886,МЛН УСЛ КУС,Миллион условных кусков
888,ТЫС УСЛ ЯЩ,Тысяча условных ящиков
890,ТЫС УСЛ КАТ,Тысяча условных катушек
892,ТЫС УСЛ ПЛИТ,Тысяча условных плиток
894,ТЫС УСЛ КИРП,Тысяча условных кирпичей
895,МЛН УСЛ КИРП,Миллион условных кирпичей
897,ТЫС СЕМЕЙ,Тысяча семей
898,МЛН СЕМЕЙ,Миллион семей
900,ТЫС ДОМХОЗ,Тысяча домохозяйств
901,МЛН ДОМХОЗ,Миллион домохозяйств
902,УЧЕН МЕСТ,Ученическое место
903,ТЫС УЧЕН МЕСТ,Тысяча ученических мест
905,ТЫС РАБ МЕСТ,Тысяча рабочих мест
907,ТЫС ПОСАД МЕСТ,Тысяча посадочных мест
910,ТЫС КВАРТ,Тысяча квартир
9111,КОЙК ДН,Койко-день
9113,ПАЦИЕНТ ДН,Пациенто-день
912,ТЫС КОЕК,Тысяча коек
914,ТЫС ТОМ КНИЖН ФОНД,Тысяча томов книжного фонда
930,ТЫС ПЛАСТ,Тысяча пластин
937,МЛН ДОЗ,Миллион доз
949,МЛН ЛИСТ.ОТТИСК,Миллион листов-оттисков
951,ТЫС ВАГ (МАШ).Ч,Тысяча вагоно-(машино)-часов
952,ТЫС ВАГ (МАШ).КМ,Тысяча вагоно-(машино)-километров
953,ТЫС МЕСТ.КМ,Тысяча место-километров
955,ТЫС ПОЕЗД.Ч,Тысяча поездо-часов
956,ТЫС ПОЕЗД.КМ,Тысяча поездо-километров
957,ТЫС Т.МИЛЬ,Тысяча тонно-миль
958,ТЫС ПАСС.МИЛЬ,Тысяча пассажиро-миль
960,ТЫС АВТОМОБ.Т.ДН,Тысяча автомобиле-тонно-дней
961,ТЫС АВТОМОБ.Ч,Тысяча автомобиле-часов
962,ТЫС АВТОМОБ.МЕСТ. ДН,Тысяча автомобиле-место-дней
963,ПРИВЕД.Ч,Приведенный час
964,САМОЛЕТ.КМ,Самолето-километр
965,ТЫС КМ,Тысяча километров
966,ТЫС ТОННАЖ. РЕЙС,Тысяча тоннаже-рейсов
967,МЛН Т. МИЛЬ,Миллион тонно-миль
968,МЛН ПАСС. МИЛЬ,Миллион пассажиро-миль
969,МЛН ТОННАЖ. МИЛЬ,Миллион тоннаже-миль
970,МЛН ПАСС. МЕСТ. МИЛЬ,Миллион пассажиро-место-миль
971,КОРМ. ДН,Кормо-день
972,Ц КОРМ ЕД,Центнер кормовых единиц
973,ТЫС АВТОМОБ. КМ,Тысяча автомобиле-километров
